dim,feature_group,mean_score_drop
593,MERT,-0.00027078166
594,MERT,-0.00085136795
595,MERT,0.0011340616
596,MERT,6.470476e-05
597,MERT,-0.00011902805
598,MERT,-0.0008788953
599,MERT,0.0023169727
600,MERT,0.000728094
601,MERT,0.00037432238
602,MERT,-0.0017074181
603,MERT,0.00059052557
604,MERT,-0.00016118753
605,MERT,0.00030830986
606,MERT,6.7188405e-05
607,MERT,0.00016710031
608,MERT,-0.00045385063
609,MERT,-0.0011487082
610,MERT,-1.3029761e-05
611,MERT,3.8262457e-05
612,MERT,0.0002591215
613,MERT,0.0007674241
614,MERT,0.00052743533
615,MERT,0.0003168715
616,MERT,0.0007201765
617,MERT,-7.4780175e-05
618,MERT,-0.00012760461
619,MERT,0.0004324682
620,MERT,0.00012401678
621,MERT,5.1172636e-05
622,MERT,-0.0003502585
623,MERT,0.0010532641
624,MERT,-0.0006132893
625,MERT,-0.0009019541
626,MERT,0.00011974722
627,MERT,-0.0006353728
628,MERT,0.0025044063
629,MERT,0.00018662568
630,MERT,-0.0010239736
631,MERT,0.00030229092
632,MERT,-8.9742054e-05
633,MERT,0.00033940523
634,MERT,-0.00030094534
635,MERT,0.00052243547
636,MERT,-1.36449935e-05
637,MERT,0.00036995448
638,MERT,-4.9749387e-06
639,MERT,-0.0001537472
640,MERT,-0.0005690027
641,MERT,0.0002051929
642,MERT,-0.00027996916
643,MERT,0.00026862154
644,MERT,-0.0023702034
645,MERT,0.0021438575
646,MERT,0.00020550303
647,MERT,-7.8707935e-06
648,MERT,3.243573e-05
649,MERT,0.00031846558
650,MERT,-0.00081985944
651,MERT,0.0009883577
652,MERT,-4.8060156e-05
653,MERT,8.3272345e-05
654,MERT,-0.00020755696
655,MERT,0.0008259965
656,MERT,0.00349522
657,MERT,0.00055963715
658,MERT,-0.00033615957
659,MERT,0.0012829838
660,MERT,-0.0005081283
661,MERT,8.010845e-05
662,MERT,0.0001593491
663,MERT,3.006868e-05
664,MERT,-0.00013380646
665,MERT,0.0020252047
666,MERT,-1.4746003e-05
667,MERT,0.0004260706
668,MERT,-0.00016678646
669,MERT,-0.0028575987
670,MERT,0.00029253587
671,MERT,0.001634668
672,MERT,0.0008534087
673,MERT,-0.0007940087
674,MERT,9.254925e-06
675,MERT,6.5111555e-05
676,MERT,0.00075941643
677,MERT,0.0022814432
678,MERT,-0.00083086995
679,MERT,0.0005447121
680,MERT,0.00022318326
681,MERT,0.0010881957
682,MERT,0.0012516758
683,MERT,0.0038840445
684,MERT,0.0008102808
685,MERT,0.00028298105
686,MERT,0.001045005
687,MERT,0.00043017082
688,MERT,0.0001459837
689,MERT,1.2435577e-05
690,MERT,0.00015359427
691,MERT,-0.00020913166
692,MERT,0.00033562555
693,MERT,0.0006150225
694,MERT,0.00010890812
695,MERT,-0.00045924057
696,MERT,0.0015976025
697,MERT,0.00044680183
698,MERT,-9.3933566e-05
699,MERT,-0.00032887032
700,MERT,0.0029000915
701,MERT,-0.0001955893
702,MERT,-0.0009226516
703,MERT,0.0010079627
704,MERT,0.0012938539
705,MERT,8.894447e-05
706,MERT,0.0006920723
707,MERT,0.0017732151
708,MERT,0.0027803262
709,MERT,0.0015319476
710,MERT,0.00038858037
711,MERT,-0.00018043109
712,MERT,0.0015834855
713,MERT,-0.0045526633
714,MERT,-0.00040214526
715,MERT,-0.0005047722
716,MERT,0.004060383
717,MERT,-0.00074835605
718,MERT,-0.00010125637
719,MERT,6.8844296e-05
720,MERT,-0.00010749679
721,MERT,-0.00025365074
722,MERT,3.417656e-05
723,MERT,-0.00041852798
724,MERT,-5.314052e-05
725,MERT,0.00015172102
726,MERT,-0.0003070427
727,MERT,-0.00037064255
728,MERT,0.0011054364
729,MERT,-0.0004628826
730,MERT,-0.00060097035
731,MERT,0.00064518565
732,MERT,0.00024073626
733,MERT,0.0010884585
734,MERT,0.001753602
735,MERT,0.00095209887
736,MERT,0.0005586691
737,MERT,-0.000174422
738,MERT,-6.212965e-05
739,MERT,0.00014292523
740,MERT,0.0004775595
741,MERT,0.0005640959
742,MERT,0.00074493384
743,MERT,-0.00069551746
744,MERT,0.00018134434
745,MERT,0.0015702505
746,MERT,-0.00037837363
747,MERT,-8.4975734e-05
748,MERT,-0.00023993943
749,MERT,0.00045593586
750,MERT,-9.527076e-05
751,MERT,-0.00040948857
752,MERT,0.00034313966
753,MERT,0.0011141906
754,MERT,-0.00031916983
755,MERT,0.00076063443
756,MERT,-0.00014303159
757,MERT,-0.001446244
758,MERT,6.460193e-05
759,MERT,0.00036491436
760,MERT,-0.00017537102
761,MERT,-0.0006239697
762,MERT,-0.0005126212
763,MERT,0.0006829448
764,MERT,0.00019488596
765,MERT,-0.0005369756
766,MERT,-6.535593e-05
767,MERT,-0.00021619145
768,Chroma,0.000457599
769,Chroma,0.00036519542
770,Chroma,0.00026463176
771,Chroma,0.00047303867
772,Chroma,0.00020321886
773,Chroma,0.000114515235
774,Chroma,0.00020960905
775,Chroma,0.0003389308
776,Chroma,2.1616182e-05
777,Chroma,7.5624885e-05
778,Chroma,-9.084008e-05
779,Chroma,-8.350238e-06
780,HarmPerc,0.042773206
781,SpectralFlatness,0.49086192
